year,district,A1101,A1102,A1414,A2101,A210102,B1101,B1103,C120110,D2201,D320101,D320108,D320113,D320115,D320122,D320406
2017,三重県第１区,443749,434186,384160,436863,225304,133477,49257,621541200,0.685,62386025,33253388,23627347,11640229,282040,20574083
2017,三重県第２区,727064,706443,619207,714021,360112,127994,68620,1074309572,0.8380000000000001,127327172,21890548,35042917,16534628,481725,26044249
2017,三重県第３区,594372,580528,505605,585178,294253,72310,47874,933380421,0.85875,111862694,13287760,27063988,13242243,414510,27677015
2017,三重県第４区,361711,359105,319066,366295,192721,264304,57950,417758243,0.38333333333333336,43144214,62178428,20413348,10767639,163709,24123045
2017,京都府第１区,496523,473922,427630,454910,241299,13191,5306,704790195.1474552,0.81,83208044.59616521,15636329.019765615,45785569.76012758,12050838.76869222,233367.65649565734,19687634.03266382
2017,京都府第２区,342781,328956,296852,313397,165636,28295,5247,485544685.29737103,0.81,57323759.75974234,10772193.633482413,31542635.25997385,8302074.514941055,160771.85254834918,13563222.270195737
2017,京都府第３区,429306,418215,369078,419607,217123,9452,6922,646735036.0316172,0.795,71256095.67246196,14326060.210838562,35375855.13184152,10724224.339957973,244554.7951704242,15991358.184446853
2017,京都府第４区,492301,474472,420044,475672,247349,149560,26343,681132174.5235566,0.5700000000000001,77819465.9716305,33751220.13591341,41830779.848057054,13822713.376408752,251401.69578556926,21142413.51269359
2017,京都府第５区,294170,291202,255385,296794,151823,208626,48050,333873938,0.41,38108817,46523645,20544972,12268775,142401,20918067
2017,京都府第６区,555272,546878,473970,554625,285658,52095,25514,768841252,0.5825,74892065,31142444,33001614,14228677,402679,26715668
2017,佐賀県第１区,409589,406412,348692,405490,212716,75955,45919,507878132,0.6228571428571429,54235141,33295420,26735824,12602171,235183,24409489
2017,佐賀県第２区,423243,421290,363662,427344,225011,168115,87644,436802239,0.4469230769230769,45572572,68214685,33010125,20000992,169315,37379779
2017,兵庫県第10区,423224,418324,364317,423142,215711,21691,17655,593384619,0.855,65866328,7794827,20042790,9218532,339663,12496024
2017,兵庫県第11区,535664,524437,458765,529626,272797,53447,22847,733089031,0.8700000000000001,96458241,14598783,35013167,15189158,377233,35544005
2017,兵庫県第12区,839466,826088,723147,835852,430989,243213,63047,1100031616,0.5618181818181818,139976795,57413695,50459252,24043648,555247,54530550
2017,兵庫県第１区,484875,455725,420264,458407,244051,9565,6399,721604435.899811,0.8,83145836.94269851,16669669.682777379,41569646.19257445,11063021.345267145,281070.59203004703,27916694.755550716
2017,兵庫県第２区,912523,873538,773699,896057,468800,36629,18279,1585955428.7265935,0.8275,161459196.99601495,20516905.76135108,67370776.5317148,19473653.27412793,543769.2048633248,36778760.333771676
2017,兵庫県第３区,381942,374025,331148,381923,202243,5704,4611,601206637.2724751,0.8,69273173.14671513,13888379.222514894,34633860.26567353,9217185.38601824,234174.70440000185,23258867.79897383
2017,兵庫県第４区,518229,510728,448314,516684,266080,103362,50296,719597736.1011202,0.62,82838709.91457139,36877828.33335665,36102148.01003721,14834287.994586684,295138.49870662636,29333944.111703783
